link,price_eur,region,sqm,floor,elevator,rooms,summary
https://www.imovirtual.com/pt/anuncio/apartamento-t3-totalmente-remodelado-aguas-santas-ID1hI97,310000,"Águas Santas, Maia, Porto",105,2,não,T3,Apartamento  T3 totalmente remodelado  - Aguas Santas
https://www.imovirtual.com/pt/anuncio/apartamento-t4-ultimo-andar-no-empreendimento-na-rua-brito-capelo-ID1idbr,1700000,"Rua Brito e Cunha, Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira, Matosinhos, Porto",191,4,sim,T4,Apartamento T4 - Ultimo andar no empreendimento na Rua Brito Capelo
https://www.imovirtual.com/pt/anuncio/apartamento-t3-na-maia-ID1idbo,430000,"Pátio do Viso, Centro, Cidade da Maia, Maia, Porto",148,5,sim,T3,APARTAMENTO T3 NA MAIA
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idbe,267000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",56,1,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idbd,195000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",39,1,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idba,243000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",52,2,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idb9,286000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",62,2,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idb5,244000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",57,2,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idb4,249000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",52,1,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-ID1idb2,519000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",132,0,sim,T3,Apartamento T3 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idb0,224000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",48,2,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idb1,277000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",60,1,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idaX,195000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",39,2,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idaW,276000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",61,1,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-box-fechada-e-varanda-junto-ao-metro-senhora-da-ID1hQOr,340000,"Centro de Senhora da Hora, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",106,,sim,T3,Apartamento T3  com Box Fechada e Varanda junto ao metro -  Senhora da
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idaQ,239000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",52,1,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idaP,283000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",61,2,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idaK,229000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",50,3,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-venda-ID1idaF,250000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",52,3,sim,T1,Apartamento T1 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-ID1idaA,472000,"Rua Doutor João Gomes Laranjo, Barranha - Vasco da Gama, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",118,0,sim,T3,Apartamento T3 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t2-1-totalmente-remodelado-com-garagem-fechada-santa-ma-ID1hV7q,317000,"Barrosa - Devesas - Telheira do Meio, Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",86,,sim,T2,Apartamento T2 +1 Totalmente Remodelado com garagem fechada – Santa Ma
https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-garagem-e-terraco-em-paranhos-ID1i0Cm,270000,"Amial, Paranhos, Porto, Porto",44,0,sim,T1,Apartamento T1 com garagem e terraço em Paranhos
https://www.imovirtual.com/pt/anuncio/t3-1-com-terraco-o-seu-refugio-entre-a-cidade-e-o-mar-em-leca-da-pa-ID1idaz,345000,"Viela de Santa Catarina - Leça da Palmeira, Centro Histórico de Leça, Matosinhos e Leça da Palmeira, Matosinhos, Porto",104,1,sim,T3,T3 + 1 com Terraço: O seu refúgio entre a Cidade e o Mar em Leça da Pa
https://www.imovirtual.com/pt/anuncio/apartamento-t3-venda-vila-do-conde-ID1iday,280000,"Vila do Conde, Vila do Conde, Porto",116,3,não,T3,Apartamento T3 Venda Vila do Conde
https://www.imovirtual.com/pt/anuncio/welcome-to-the-living-lofts-campo-alegre-586-ID1hNnA,349000,"Palácio de Cristal - Galiza - Vilar, Lordelo do Ouro e Massarelos, Porto, Porto",52,,não,T1,Welcome to the Living Lofts. Campo Alegre 586
https://www.imovirtual.com/pt/anuncio/edificio-pine-studios-ID1idad,325000,"Pinheiro Manso, Ramalde, Porto, Porto",74,,sim,T1,Edificio Pine Studios
https://www.imovirtual.com/pt/anuncio/edificio-pine-studios-ID1idae,250000,"Pinheiro Manso, Ramalde, Porto, Porto",41,,sim,T0,Edificio Pine Studios
https://www.imovirtual.com/pt/anuncio/elegancia-contemporanea-a-dois-passos-do-gaia-shopping-ID1idaq,429000,"Rua Salvador Fernandes Caetano, Soares dos Reis - Rasa de Cima, Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",108,,não,T2,Elegância Contemporânea a Dois Passos do Gaia Shopping
https://www.imovirtual.com/pt/anuncio/apartamento-t4-ultimo-andar-no-empreendimento-na-rua-brito-capelo-ID1idao,1575000,"Rua Brito e Cunha, Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira, Matosinhos, Porto",193,4,sim,T4,Apartamento T4 - Ultimo andar no empreendimento na Rua Brito Capelo
https://www.imovirtual.com/pt/anuncio/apartamento-t2-cond-fechado-c-garagem-box-e-elevador-rio-tinto-ID1ia80,310000,"Rua de Medancelhe, Santegãos - Estrada Nova - Campainha, Rio Tinto, Gondomar, Porto",104,1,sim,T2,APARTAMENTO T2 | COND. FECHADO | C/ GARAGEM BOX E ELEVADOR | RIO TINTO
https://www.imovirtual.com/pt/anuncio/apartamento-t1-no-centro-de-pacos-de-ferreira-condominio-privado-ID1hH3y,199900,"Avenida 1º de Dezembro, Paços de Ferreira, Paços de Ferreira, Porto",58,4,sim,T1,Apartamento T1 no Centro de Paços de Ferreira – Condomínio Privado
https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-canelas-ID1ibGV,260000,"Curro - Carregal - Serra Negrelos, Canelas, Vila Nova de Gaia, Porto",97,0,sim,T2,Apartamento T2 em Canelas
https://www.imovirtual.com/pt/anuncio/apartamento-t4-ultimo-andar-no-empreendimento-na-rua-brito-capelo-ID1id9C,1575000,"Rua Brito e Cunha, Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira, Matosinhos, Porto",190,4,sim,T4,Apartamento T4 - Ultimo andar no empreendimento na Rua Brito Capelo
https://www.imovirtual.com/pt/anuncio/apartamento-t1-matosinhos-sul-pronto-a-habitar-ou-rentabilizar-em-arre-ID1id9B,250000,"Rua Sul, Zona Histórica de Matosinhos, Matosinhos e Leça da Palmeira, Matosinhos, Porto",53,1,não,T1,Apartamento T1 Matosinhos Sul pronto a habitar ou rentabilizar em arre
https://www.imovirtual.com/pt/anuncio/bloom-living-ID1id9l,2975,"Moreira, Maia, Porto",,,,,
https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-varanda-e-estacionamento-na-quinta-da-moreira-ID1id9s,312500,"Moreira, Maia, Porto",81,2,sim,T2,Apartamento T2 com varanda e estacionamento na Quinta da Moreira
https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-varanda-e-estacionamento-na-quinta-da-moreira-ID1id9p,317500,"Moreira, Maia, Porto",81,4,sim,T2,Apartamento T2 com varanda e estacionamento na Quinta da Moreira
https://www.imovirtual.com/pt/anuncio/apartamento-t1-venda-em-matosinhos-e-leca-da-palmeira-matosinhos-ID1i5ZJ,375000,"Rua Conde Alto Mearim, Centro de Matosinhos, Matosinhos e Leça da Palmeira, Matosinhos, Porto",58,,não,T1,"Apartamento T1 Venda em Matosinhos e Leça da Palmeira,Matosinhos"
https://www.imovirtual.com/pt/anuncio/apartamento-t2-av-de-francelos-sd-04624-co-ID1id9i,310000,"Avenida de Francelos - Gulpilhares, Francelos, Gulpilhares e Valadares, Vila Nova de Gaia, Porto",100,,não,T2,"Apartamento t2, Av de Francelos SD/04624/CO"
https://www.imovirtual.com/pt/anuncio/t2-renovado-com-vista-mar-e-varanda-a-sul-aviz-ID1ibhv,700000,"Rua José Gomes Ferreira, Aviz - Cristo Rei, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",128,9,sim,T2,T2 renovado com vista mar e varanda a sul | Aviz
https://www.imovirtual.com/pt/anuncio/t4-c-vista-mar-varanda-foz-do-douro-ID1ibG3,890000,"Rua Diu, Foz Velha, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",174,3,sim,T4,T4 c/ Vista Mar | Varanda | Foz do Douro
https://www.imovirtual.com/pt/anuncio/apartamento-t2-avenida-de-francelos-ID1id9a,310000,"Avenida de Francelos - Gulpilhares, Francelos, Gulpilhares e Valadares, Vila Nova de Gaia, Porto",100,,não,T2,"Apartamento T2, Avenida  de Francelos"
https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-leca-da-palmeira-ID1id96,265000,"Monte Espinho - Zona Industrial, Matosinhos e Leça da Palmeira, Matosinhos, Porto",70,,sim,T2,Apartamento T2 em Leça da Palmeira
https://www.imovirtual.com/pt/anuncio/apartamento-t4-exclusivo-com-terraco-no-the-avenue-nas-antas-ID1id95,950000,"Avenida Combatentes da Grande Guerra, Combatentes - Costa Cabral, Paranhos, Porto, Porto",216,0,sim,T4,Apartamento T4 Exclusivo com Terraço no The Avenue nas Antas
https://www.imovirtual.com/pt/anuncio/apartamento-t4-ultimo-andar-no-empreendimento-na-rua-brito-capelo-ID1id91,1450000,"Rua Brito e Cunha, Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira, Matosinhos, Porto",167,4,sim,T4,Apartamento T4 - Ultimo andar no empreendimento na Rua Brito Capelo
https://www.imovirtual.com/pt/anuncio/magnolias-plaza-apartamento-t2-c-varanda-em-construcao-maia-ID1i7Bm,341000,"Águas Santas, Maia, Porto",101,4,sim,T2,Magnólias Plaza - Apartamento T2 - c/ varanda - Em Construção - Maia
https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-construcao-na-foz-ID1id90,850000,"Rua de Fez, Aviz - Cristo Rei, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",102,1,ar condicionado,T2,Apartamento T2 em Construção na Foz
https://www.imovirtual.com/pt/anuncio/apartamento-t3-sao-felix-da-marinha-ID1id8Q,725000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",130,5,não,T3,APARTAMENTO T3 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/t2-renovado-c-lugar-de-garagem-na-alameda-jardins-da-arrabida-ID1ibGo,365000,"Alameda dos Jardins da Arrábida, Afurada - Arrábida - Cavaco, Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",105,5,sim,T2,T2 Renovado c/ Lugar de Garagem na Alameda Jardins da Arrábida
