link,price_eur,region,sqm,floor,elevator,rooms,summary
https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-a-estrear-com-1-lugar-de-estacionamento-local-ID1idbH,700000,"Alto de Santo Amaro, Alcântara, Lisboa, Lisboa",97,0,não,T2,"Apartamento T2 novo a estrear, com 1 lugar de estacionamento, local..."
https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-a-estrear-com-1-varanda-e-1-lugar-de-estaciona-ID1idbx,730000,"Alto de Santo Amaro, Alcântara, Lisboa, Lisboa",95,2,não,T2,"Apartamento T2 novo a estrear, com 1 varanda e 1 lugar de estaciona..."
https://www.imovirtual.com/pt/anuncio/t3-totalmente-remodelado-com-varanda-ampla-e-vista-para-monsanto-ben-ID1idam,599900,"Rua Engenheiro Nobre Guedes, Bairro de Santa Cruz, Benfica, Lisboa, Lisboa",93,,não,T3,T3 Totalmente Remodelado com Varanda Ampla e Vista para Monsanto – Ben
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-varanda-e-garagem-no-l-towers-em-paco-de-arcos-ID1idaj,720000,"Rua Actor António Pinheiro, Terrugem - Q.ta do Torneiro - Q.ta da Fonte, Oeiras e S. Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",127,,não,T3,"Apartamento T3 com varanda e garagem no L Towers, em Paço de Arcos"
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-varanda-e-garagem-no-l-towers-em-paco-de-arcos-ID1idai,730000,"Rua Actor António Pinheiro, Terrugem - Q.ta do Torneiro - Q.ta da Fonte, Oeiras e S. Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",123,,não,T3,"Apartamento T3 com varanda e garagem no L Towers, em Paço de Arcos"
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-varanda-e-garagem-no-l-towers-em-paco-de-arcos-ID1idah,690000,"Rua Actor António Pinheiro, Terrugem - Q.ta do Torneiro - Q.ta da Fonte, Oeiras e S. Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",125,,não,T3,"Apartamento T3 com varanda e garagem no L Towers, em Paço de Arcos"
https://www.imovirtual.com/pt/anuncio/t3-sobralinho-otimo-estado-suite-arrecadacao-ID1i9Jg,325000,"Sobralinho, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",114,1,não,T3,"T3 Sobralinho, Ótimo estado, suite, arrecadação"
https://www.imovirtual.com/pt/anuncio/t2-em-condominio-com-logradouro-e-box-ID1hWxO,675000,"Amoreira, Alcabideche, Cascais, Lisboa",100,0,não,T2,T2 em condomínio com logradouro e box
https://www.imovirtual.com/pt/anuncio/t2-ramada-terraco-varanda-ID1id9v,330000,"Rua Aura Abranches, Ramada e Caneças, Odivelas, Lisboa",119,1,não,T2,T2 Ramada | Terraço | Varanda
https://www.imovirtual.com/pt/anuncio/predio-em-propriedade-total-com-4-fraccoes-de-utilizacao-independen-ID1id9e,677500,"Rua António Palha, Vila Franca de Xira, Vila Franca de Xira, Lisboa",187,,não,T9+,Prédio em Propriedade Total com 4 fracções de utilização independen...
https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-vista-desafogada-em-benfica-ID1i2zX,616000,"Rua Anjos Teixeira, Alto dos Moinhos, São Domingos de Benfica, Lisboa, Lisboa",112,5,sim,T2,Apartamento T2 com Vista Desafogada em Benfica
https://www.imovirtual.com/pt/anuncio/apartamento-t2-1-totalmente-novo-ID1hXcY,299000,"Ramalhal, Torres Vedras, Lisboa",95,1,não,T2,Apartamento T2+1 TOTALMENTE NOVO
https://www.imovirtual.com/pt/anuncio/procura-espaco-e-conforto-veja-este-t4-duplex-ID1id5r,694995,"Escadinhas do Borrageiro - Bairro do Borrageiro, Ramada e Caneças, Odivelas, Lisboa",138,0,não,T4,Procura espaço e conforto? Veja este T4 Duplex
https://www.imovirtual.com/pt/anuncio/apartamento-de-4-assoalhadas-com-garagem-na-quinta-grande-em-alfragide-ID1id51,680000,"Alfragide, Amadora, Lisboa",142,,sim,T3,Apartamento de 4 assoalhadas com garagem na Quinta Grande em Alfragide
https://www.imovirtual.com/pt/anuncio/apartamento-t3-renovado-com-vista-rio-ID1ibyS,385000,"Avenida Antero de Quental - Bairro da Chepsi, Póvoa de Santa Iria, Póvoa de Santa Iria e Forte da Casa, Vila Franca de Xira, Lisboa",108,7,cozinha separada,T3,Apartamento T3 Renovado com Vista Rio
https://www.imovirtual.com/pt/anuncio/apartamento-t2-pateo-e-garagem-mem-martins-oportunidade-ID1i7XQ,395000,"Bairro de São Carlos, Algueirão-Mem Martins, Sintra, Lisboa",110,0,não,T2,Apartamento T2 - Páteo e Garagem - Mem Martins – Oportunidade!
https://www.imovirtual.com/pt/anuncio/apartamento-t4-venda-em-massama-e-monte-abraao-sintra-ID1id4M,480000,"Avenida Azedo Gneco - Massamá, Massamá, Massamá e Monte Abraão, Sintra, Lisboa",141,,sim,T4,"Apartamento T4 Venda em Massamá e Monte Abraão,Sintra"
https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-ID1id4I,690000,"Rua Teixeira de Pascoais, Alvalade, Alvalade, Lisboa, Lisboa",106,1,não,T3,Apartamento T3 para venda
https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-venda-ID1id4H,276000,"Rua Raúl Gomes Ferreira - Parque Desportivo, Lourinhã e Atalaia, Lourinhã, Lisboa",112,3,não,T2,Apartamento T2 para venda
https://www.imovirtual.com/pt/anuncio/t3-com-suite-e-2-wc-espaco-e-conforto-para-a-sua-familia-ID1i6xb,394263,"Praceta Cidade de Brasília - Urbanização de São Marcos, São Marcos, Cacém e São Marcos, Sintra, Lisboa",110,4,sim,T3,T3 com Suíte e 2 WC | Espaço e Conforto para a Sua Família.
https://www.imovirtual.com/pt/anuncio/t3-em-construcao-com-135m2-no-bom-sucesso-alverca-do-ribatejo-ID1hVtw,475000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",135,2,sim,T3,T3 Em construção com 135m2 no Bom Sucesso- Alverca do Ribatejo
https://www.imovirtual.com/pt/anuncio/t3-novo-em-construcao-no-bom-sucesso-alverca-do-ribatejo-ID1hVtE,460000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",129,1,sim,T3,T3 Novo em Construção no Bom Sucesso- Alverca do Ribatejo
https://www.imovirtual.com/pt/anuncio/apartamento-t2-massama-em-remodelacao-ID1hZSY,330000,"Avenida Américo Ferrer Lopes - Massamá, Massamá, Massamá e Monte Abraão, Sintra, Lisboa",92,1,sim,T2,Apartamento T2 Massamá -  em remodelação
https://www.imovirtual.com/pt/anuncio/t4-nova-construcao-bom-sucesso-alverca-ID1hVsg,560000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",176,3,sim,T4,T4 Nova Construção - Bom Sucesso Alverca
https://www.imovirtual.com/pt/anuncio/predio-habitacional-para-remodelacao-579m2-sao-pedro-da-cadeira-ID1hucV,289000,"Largo Doutor Agostinho Cardoso, São Pedro da Cadeira, Torres Vedras, Lisboa",205,3,não,T8,Prédio Habitacional para remodelação - 579m2 - São Pedro da Cadeira -
https://www.imovirtual.com/pt/anuncio/t3-com-terraco-no-lumiar-espaco-luz-e-exterior-raro-na-cidade-ID1i6Xn,690000,"Rua Professor João Cândido de Oliveira, Carriche - Hospital das Forças Armadas, Lumiar, Lisboa, Lisboa",111,,sim,T3,"T3 com terraço no Lumiar | Espaço, luz e exterior raro na cidade"
https://www.imovirtual.com/pt/anuncio/t3-totalmente-remodelado-com-terraco-privativo-ID1id4o,370000,"Largo Doutor Mário Madeira, Malveira, Malveira e São Miguel de Alcainça, Mafra, Lisboa",110,,não,T3,T3 Totalmente Remodelado com Terraço Privativo
https://www.imovirtual.com/pt/anuncio/espacoso-t3-santa-clara-ID1i44s,457700,"Rua Alberto Barbosa, Ameixoeira, Santa Clara, Lisboa, Lisboa",100,0,acessibilidade para pessoas com mobilidade reduzida,T3,Espaçoso T3 Santa Clara
https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-no-quartier-100-nas-avenidas-novas-em-lisboa-ID1hFm7,599000,"Rua da Beneficência, Entrecampos, Avenidas Novas, Lisboa, Lisboa",100,2,não,T2,"Apartamento T2, novo, no Quartier 100, nas Avenidas Novas, em Lisboa"
https://www.imovirtual.com/pt/anuncio/t4-em-construcao-bom-sucesso-alverca-ID1hVtr,560000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",176,2,sim,T4,T4 em Construção - Bom sucesso - Alverca
https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-piscina-no-centro-de-vila-franca-de-xira-ID1i4e0,399000,"Rua Fausto Nunes Dias, Vila Franca de Xira, Vila Franca de Xira, Lisboa",133,1,sim,T2,Apartamento T2 com piscina no centro de Vila Franca de Xira
https://www.imovirtual.com/pt/anuncio/t3-nova-construcao-bom-sucesso-alverca-ID1hVse,475000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",135,4,sim,T3,T3 Nova Construção Bom Sucesso- Alverca
https://www.imovirtual.com/pt/anuncio/t3-de-170m-com-suite-e-closet-varanda-2-estacionamentos-centro-ID1hVTr,299000,"Largo Rainha Dona Leonor, Aldeia Galega da Merceana e Aldeia Gavinha, Alenquer, Lisboa",160,1,não,T3,T3 de 170m² com Suite e Closet | Varanda | 2 Estacionamentos | Centro
https://www.imovirtual.com/pt/anuncio/t4-nova-construcao-bom-sucesso-alverca-ID1hVrX,560000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",176,4,sim,T4,T4 Nova Construção - Bom Sucesso- Alverca
https://www.imovirtual.com/pt/anuncio/apartamento-t4-em-santa-clara-lisboa-ID1i57R,489500,"Avenida Glicínia Quartin - Quinta do Grafanil, Ameixoeira, Santa Clara, Lisboa, Lisboa",109,4,garagem,T4,Apartamento T4 em Santa Clara - Lisboa
