link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-praha-5-na-vysoke-i/3645818188,3645818188,20393309,110,2,4+kk,,na,01.04.2026
https://www.sreality.cz/detail/prodej/byt/4+1/praha-smichov-na-plzence/616833868,616833868,21800000,150,3,4+1,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/5+kk/praha-smichov-pechackova/3091993420,3091993420,31891000,130,7,5+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-siklove/3351204684,3351204684,18137241,77,2,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-siklove/1329484620,1329484620,7746359,28,1,1+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-devonska/1663610956,1663610956,11000000,64,2,2+kk,,hlubocepy,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-na-neklance/359506508,359506508,10324025,67,3,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-nad-koulkou/2519114316,2519114316,9955699,62,3,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-stodulky-kleckova/2127184716,2127184716,13490000,78,3,3+kk,,stodulky,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zbraslav-k-havlinu/194315084,194315084,17000000,104,3,4+kk,,zbraslav,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-stodulky-toufarova/3450082124,3450082124,12497000,74,3,3+kk,,stodulky,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-na-belidle/739394380,739394380,10890000,57,5,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-strakonicka/1322730316,1322730316,12295000,65,7,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-na-vaclavce/1306420044,1306420044,8390000,59,2,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radotin-namesti-osvoboditelu/3451929164,3451929164,10873505,64,6,3+kk,,radotin,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-na-vaclavce/2648597324,2648597324,8590000,62,2,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+1/praha-smichov-graficka/1571902284,1571902284,9690000,70,2,2+1,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-holyne-namesti-pod-lipou/3928600652,3928600652,15750000,127,1,4+kk,,holyne,Dnes
https://www.sreality.cz/detail/prodej/byt/5+kk/praha-holyne-namesti-pod-lipou/4063866956,4063866956,18770000,150,1,5+kk,,holyne,Dnes
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-hlubocepy-gollove/823111756,823111756,7215000,34,5,1+kk,,hlubocepy,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-na-laurove/3436999500,3436999500,15190000,95,3,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-siklove/3854521164,3854521164,17899214,80,2,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+1/praha-zbraslav-zitavskeho/3475837772,3475837772,9400000,77,2,3+1,,zbraslav,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-stodulky-svejcarovo-namesti/1583506252,1583506252,15240000,98,2,4+kk,,stodulky,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-radlice-u-komina/2280678220,2280678220,20094000,107,1,4+kk,,radlice,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-u-komina/1742168908,1742168908,14645000,91,2,3+kk,,radlice,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-u-komina/2849465164,2849465164,15997000,89,3,3+kk,,radlice,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-siklove/3341022028,3341022028,17559594,84,2,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-radlice-u-komina/3852952396,3852952396,10770000,46,3,2+kk,,radlice,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-pod-zvahovem/2538188876,2538188876,11000000,88,2,3+kk,,hlubocepy,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-siklove/1169679180,1169679180,13291188,53,3,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-u-divcich-hradu/4110697292,4110697292,19990000,123,1,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-krizova/2972341068,2972341068,6580000,42,2,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-radotin-namesti-osvoboditelu/30425676,30425676,8547147,47,7,2+kk,,radotin,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-nadrazni/2614321996,2614321996,19386958,111,5,4+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-nadrazni/4046152524,4046152524,11664078,56,1,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-siklove/2940465996,2940465996,12069863,51,1,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zlicin-sazovicka/2959622988,2959622988,11499000,67,4,3+kk,,zlicin,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-jinonice-kloudova/78467916,78467916,19950000,91,1,3+kk,,jinonice,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-peroutkova/883774284,883774284,9950000,66,1,2+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-siklove/2326590284,2326590284,24033480,107,4,4+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kosire-pod-kavalirkou/3706868556,3706868556,2990000,25,0,1+kk,,kosire,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-na-valentince/3073355852,3073355852,27000000,131,5,4+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-slavy-hornika/1143976012,1143976012,8250000,47,1,2+kk,,kosire,Dnes
https://www.sreality.cz/detail/prodej/byt/1+1/praha-jinonice-peroutkova/1264562252,1264562252,5990000,34,2,1+1,,jinonice,Dnes
https://www.sreality.cz/detail/prodej/byt/3+1/praha-smichov-na-vaclavce/1071539020,1071539020,13490000,99,2,3+1,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-strakonicka/716161612,716161612,16995000,106,7,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-u-dvou-srpu/1595294540,1595294540,14990000,89,3,3+kk,,smichov,Dnes
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zbraslav-jaromira-vejvody/93938508,93938508,14850000,187,4,4+kk,,zbraslav,Dnes
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-lochkov-u-sladovny/1063235660,1063235660,6811000,33,2,1+kk,,lochkov,Dnes
